Date	Time	Severity	PID	TID	Function	Message
12-06-2025	22:54:25.435	 INFO	 19772	 29748	DllMain	"DLL_PROCESS_ATTACH Fri Apr  4 13:27:46 2025 11.4.2500.24"
12-06-2025	22:54:25.437	 INFO	 19772	 27876	LateInitialization	"Intialization..."
12-06-2025	22:54:25.438	 INFO	 19772	 27876	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
12-06-2025	22:54:25.438	 INFO	 19772	 27876	LateInitialization	"IsExplorer = 0"
12-06-2025	22:54:25.439	 INFO	 19772	 27876	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
12-06-2025	22:54:25.439	 INFO	 19772	 27876	LateInitialization	"Intialization finished"
12-06-2025	22:54:26.530	 INFO	 31688	 27832	DllMain	"DLL_PROCESS_ATTACH Fri Apr  4 13:27:46 2025 11.4.2500.24"
12-06-2025	22:54:26.531	 INFO	 31688	 18520	LateInitialization	"Intialization..."
12-06-2025	22:54:26.544	 INFO	 31688	 18520	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
12-06-2025	22:54:26.558	 INFO	 31688	 18520	LateInitialization	"IsExplorer = 0"
12-06-2025	22:54:26.573	 INFO	 31688	 18520	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
12-06-2025	22:54:26.585	 INFO	 31688	 18520	LateInitialization	"Intialization finished"
12-06-2025	22:56:34.047	 INFO	 20628	  6628	DllMain	"DLL_PROCESS_ATTACH Fri Apr  4 13:27:46 2025 11.4.2500.24"
12-06-2025	22:56:34.047	 INFO	 20628	 27872	LateInitialization	"Intialization..."
12-06-2025	22:56:34.058	 INFO	 20628	 27872	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
12-06-2025	22:56:34.073	 INFO	 20628	 27872	LateInitialization	"IsExplorer = 0"
12-06-2025	22:56:34.084	 INFO	 20628	 27872	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
12-06-2025	22:56:34.097	 INFO	 20628	 27872	LateInitialization	"Intialization finished"
